,,Claude 3.7,,,,,,GPT4o,,,,,,Llama3 (8B),,,,,,,,Gemma3 (27B),,,,,,,,Phi4 (14B),,,,,,,,Llama3.3 (70B),,,,,,Mistral (7B),,,,,,AutoReSpec,,SpecGen,,,,,
Sequential,LeapYearSeq,90.00,96.83,100.00,100.00,100.00,97.14,100.00,85.71,100.00,91.43,100.00,90.00,70.00,0.00,70.00,69.39,80.00,60.71,100.00,52.86,50.00,0.00,50.00,88.57,80.00,91.07,100.00,88.57,80.00,32.14,100.00,82.38,90.00,80.42,100.00,69.52,70.00,85.71,90.00,76.19,100.00,85.71,0.00,0.00,10.00,100.00,20.00,85.71,90.00,85.71,100.00,,,,,
Multi-path Loop,LinearSearch,10.00,83.33,60.00,83.33,60.00,83.33,0.00,0.00,20.00,83.33,30.00,83.33,10.00,41.67,10.00,50.00,0.00,0.00,60.00,32.26,80.00,58.33,60.00,79.17,50.00,83.59,70.00,80.13,0.00,0.00,0.00,0.00,0.00,0.00,30.00,50.00,10.00,75.00,20.00,79.17,20.00,83.33,0.00,0.00,0.00,0.00,0.00,0.00,80.00,54.405,100.00,,,,,
Nested Loop,MatrixAdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,0.00,,,,,
Nested Loop,MatrixMul,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,44.61,0.00,,,,,
Single-path Loop,MaxInArray,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,88.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,20.00,63.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,64.67,80.00,,,,,
Single-path Loop,MinInArray,10.00,80.00,0.00,0.00,0.00,0.00,30.00,88.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,10.00,60.00,0.00,0.00,10.00,66.67,0.00,0.00,10.00,55.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,52.13,80.00,,,,,
Multi-path Loop,MoveZeroes,0.00,0.00,0.00,0.00,10.00,90.91,20.00,90.91,20.00,90.91,40.00,84.09,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,90.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,90,100.00,,,,,
Single-path Loop,MulLoop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,28.57,0.00,0.00,0.00,0.00,20.00,42.86,10.00,42.86,0.00,0.00,10.00,42.86,10.00,87.50,0.00,0.00,10.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,54.18,100.00,,,,,
Nested Loop,MulNested,50.00,93.94,100.00,92.12,100.00,90.91,30.00,87.88,100.00,87.88,90.00,87.88,50.00,12.12,0.00,0.00,0.00,0.00,70.00,12.66,0.00,0.00,10.00,87.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,51.11,0.00,0.00,30.00,87.88,40.00,87.88,0.00,0.00,0.00,0.00,0.00,0.00,80.00,35.4725,100.00,,,,,
Single-path Loop,MyPower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,36.67,0.00,0.00,10.00,37.50,90.00,36.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,43.66857143,10.00,,,,,
Multi-path Loop,MySqrt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,21.21,0.00,0.00,0.00,0.00,60.00,22.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,51.61,10.00,21.21,0.00,0.00,0.00,0.00,10.00,21.21,0.00,0.00,0.00,0.00,60.00,21.10666667,0.00,,,,,
Branched,NegAbs,0.00,0.00,0.00,0.00,20.00,80.00,100.00,80.00,100.00,80.00,90.00,80.00,30.00,0.00,20.00,60.00,30.00,6.66,90.00,24.44,40.00,0.00,30.00,80.00,60.00,80.00,90.00,80.00,60.00,13.33,40.00,60.00,30.00,40.00,100.00,62.00,0.00,0.00,20.00,100.00,30.00,100.00,10.00,0.00,10.00,0.00,0.00,0.00,90.00,82.22222222,100.00,,,,,
Nested Loop,NextGreaterElem,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,54.55,0.00,,,,,
Sequential,NotCommonFactor,100.00,100.00,80.00,100.00,90.00,100.00,100.00,100.00,60.00,99.21,50.00,100.00,10.00,0.00,50.00,17.78,50.00,17.78,80.00,24.40,100.00,100.00,90.00,100.00,90.00,100.00,100.00,98.89,10.00,88.89,70.00,91.27,60.00,96.30,100.00,93.89,50.00,100.00,100.00,95.56,90.00,95.06,10.00,4.55,10.00,88.89,10.00,72.22,90.00,97.52888889,100.00,,,,,
Branched,NotCommonFactorBranch,100.00,100.00,100.00,100.00,90.00,100.00,100.00,98.13,100.00,100.00,100.00,100.00,0.00,0.00,20.00,68.75,40.00,43.75,80.00,38.89,0.00,0.00,70.00,98.21,70.00,98.21,100.00,96.25,10.00,87.50,60.00,87.50,100.00,87.50,100.00,87.50,50.00,100.00,50.00,90.00,90.00,88.89,0.00,0.00,50.00,85.00,30.00,58.33,90.00,99.30555556,100.00,,,,,
Sequential,NotCommonMultiple,0.00,0.00,100.00,100.00,80.00,100.00,100.00,91.11,60.00,96.30,90.00,97.53,0.00,0.00,20.00,44.44,50.00,35.56,100.00,53.89,20.00,94.44,50.00,97.78,50.00,100.00,100.00,100.00,0.00,0.00,80.00,93.75,80.00,92.36,80.00,83.33,40.00,97.22,40.00,94.44,100.00,92.22,0.00,0.00,30.00,59.26,20.00,88.89,90.00,96.29555556,100.00,,,,,
Branched,NumberOfCuts,100.00,87.50,100.00,87.50,100.00,87.50,50.00,87.50,80.00,87.50,90.00,87.50,20.00,0.00,40.00,12.50,30.00,12.50,100.00,12.71,40.00,0.00,30.00,29.17,20.00,81.25,100.00,86.25,40.00,43.75,60.00,17.71,30.00,8.33,90.00,31.94,20.00,87.50,60.00,87.50,60.00,87.50,0.00,0.00,10.00,43.75,10.00,72.73,90.00,73.87444444,100.00,,,,,
Sequential,NumberOfCutsSeq,60.00,85.71,80.00,85.71,90.00,85.71,90.00,85.71,90.00,76.19,100.00,85.71,50.00,0.00,40.00,1.79,60.00,1.19,100.00,2.86,100.00,0.00,20.00,85.71,50.00,84.29,80.00,85.71,60.00,42.86,70.00,28.57,70.00,17.35,60.00,4.76,60.00,28.57,40.00,85.71,40.00,85.71,0.00,0.00,30.00,38.10,30.00,85.43,90.00,84.26777778,100.00,,,,,
Sequential,OddEven,100.00,100.00,50.00,100.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,90.00,0.00,90.00,61.90,100.00,65.71,100.00,60.00,20.00,100.00,80.00,87.50,100.00,90.00,100.00,100.00,100.00,0.00,100.00,98.57,60.00,88.10,100.00,98.57,20.00,50.00,70.00,100.00,90.00,100.00,0.00,0.00,50.00,80.00,40.00,100.00,90.00,100,100.00,,,,,
Sequential,PassPillow,90.00,100.00,70.00,96.94,100.00,95.36,100.00,80.36,100.00,91.43,100.00,92.50,0.00,0.00,0.00,0.00,0.00,0.00,30.00,7.14,0.00,0.00,90.00,89.29,60.00,89.29,100.00,89.29,0.00,0.00,0.00,0.00,0.00,0.00,10.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,42.86,10.00,46.43,90.00,79.76,100.00,,,,,
Branched,PassPillowBranch,70.00,96.54,40.00,93.18,50.00,78.79,90.00,81.82,100.00,84.55,100.00,88.18,0.00,0.00,0.00,0.00,20.00,30.30,30.00,39.39,0.00,0.00,90.00,78.79,80.00,78.79,100.00,78.79,0.00,0.00,0.00,0.00,10.00,78.79,20.00,56.06,10.00,87.88,50.00,89.70,10.00,93.94,0.00,0.00,0.00,0.00,0.00,0.00,90.00,75.76,100.00,,,,,
Sequential,Perimeter,100.00,95.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,50.00,80.00,100.00,60.00,100.00,100.00,85.75,0.00,0.00,80.00,90.63,80.00,90.63,100.00,87.50,100.00,50.00,100.00,100.00,90.00,100.00,100.00,100.00,60.00,100.00,80.00,100.00,60.00,100.00,0.00,0.00,30.00,100.00,30.00,100.00,90.00,96.94444444,100.00,,,,,
Sequential,PowerOfFour,30.00,84.00,10.00,84.00,30.00,84.00,100.00,84.00,100.00,41.20,50.00,33.60,60.00,0.00,50.00,16.80,70.00,0.00,90.00,14.65,60.00,0.00,100.00,82.40,100.00,83.20,100.00,84.00,50.00,16.80,10.00,84.00,40.00,84.00,70.00,36.00,40.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,84.00,40.00,82.00,80.00,80.42,100.00,,,,,
Branched,PowerOfFourBranch,0.00,0.00,20.00,85.00,20.00,85.00,40.00,85.00,70.00,72.86,60.00,42.50,70.00,0.00,10.00,10.00,70.00,19.29,90.00,8.73,0.00,0.00,100.00,85.00,100.00,85.00,100.00,85.00,80.00,10.63,40.00,85.00,50.00,85.00,100.00,85.00,10.00,0.00,10.00,85.00,0.00,0.00,0.00,0.00,30.00,50.00,10.00,85.00,80.00,83.585,100.00,,,,,
Single-path Loop,PowerOfFourLoop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,90.00,6.67,0.00,0.00,10.00,6.66,60.00,9.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,6.67,30.00,6.67,0.00,0.00,0.00,0.00,10.00,4.00,0.00,0.00,0.00,0.00,40.00,29.32,80.00,,,,,
Single-path Loop,PowerOfThree,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,5.56,0.00,0.00,0.00,0.00,100.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,10.00,3.85,0.00,0.00,0.00,0.00,70.00,5.448571429,80.00,,,,,
Sequential,PowerOfTwo,20.00,87.50,10.00,87.50,0.00,0.00,100.00,87.50,70.00,62.50,30.00,29.17,50.00,0.00,30.00,0.00,10.00,87.50,100.00,38.13,0.00,,50.00,81.25,80.00,81.25,70.00,75.89,90.00,18.06,50.00,87.50,40.00,87.50,50.00,50.00,70.00,25.00,10.00,87.50,0.00,0.00,0.00,0.00,10.00,0.00,40.00,40.63,80.00,76.6225,100.00,,,,,
Branched,PowerOfTwoBranch,100.00,85.71,80.00,85.71,60.00,85.71,100.00,85.71,70.00,61.22,60.00,71.43,60.00,0.00,10.00,7.14,30.00,28.57,80.00,6.25,10.00,0.00,90.00,85.71,100.00,85.71,100.00,85.71,70.00,36.73,60.00,85.71,40.00,85.71,90.00,76.19,20.00,40.63,50.00,85.71,0.00,0.00,0.00,0.00,50.00,85.71,50.00,85.71,90.00,85.71,80.00,,,,,
Single-path Loop,PowerOfTwoLoop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,73.33,60.00,7.07,0.00,0.00,20.00,13.33,50.00,14.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,40.00,0.00,0.00,0.00,0.00,20.00,73.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,8.571666667,100.00,,,,,
Multi-path Loop,PrimeCheck,0.00,0.00,10.00,100.00,30.00,97.92,30.00,93.75,50.00,95.00,80.00,96.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,84.38,10.00,100.00,10.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,5.833333333,50.00,,,,,
Nested Loop,PrimeNumbers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,30.37,0.00,,,,,
Branched,ReLU,10.00,75.00,100.00,75.00,100.00,75.00,100.00,75.00,100.00,75.00,90.00,58.33,50.00,0.00,20.00,37.50,50.00,30.00,100.00,33.33,100.00,25.00,10.00,75.00,10.00,75.00,50.00,45.00,10.00,25.00,50.00,75.00,80.00,75.00,100.00,70.00,20.00,50.00,80.00,96.88,70.00,82.14,0.00,0.00,40.00,43.75,30.00,100.00,90.00,44.44555556,100.00,,,,,
Sequential,ReLUSeq,30.00,66.67,100.00,66.67,100.00,66.67,100.00,66.67,100.00,66.67,100.00,53.33,80.00,0.00,30.00,33.33,40.00,33.33,100.00,16.67,100.00,23.33,60.00,61.11,50.00,60.00,80.00,54.17,30.00,0.00,60.00,66.67,60.00,66.67,100.00,66.67,60.00,55.56,60.00,66.67,90.00,66.67,0.00,0.00,50.00,33.33,30.00,33.33,90.00,62.96555556,100.00,,,,,
Multi-path Loop,RepeatedChar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,16.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,19.47,60.00,,,,,
Nested Loop,RepeatedCharNested,100.00,85.71,100.00,82.86,100.00,80.00,40.00,71.43,10.00,57.14,0.00,0.00,50.00,14.29,10.00,14.29,10.00,14.29,70.00,12.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,14.29,0.00,0.00,80.00,17.85,40.00,,,,,
Nested Loop,RepeatedNumNested,100.00,92.31,80.00,92.31,90.00,92.31,10.00,92.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,10.00,38.46,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,92.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,67.96,37.50,,,,,
Single-path Loop,Return100,10.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,30.00,14.29,20.00,57.14,0.00,0.00,80.00,14.29,10.00,100.00,20.00,100.00,0.00,0.00,30.00,100.00,0.00,0.00,60.00,100.00,10.00,100.00,70.00,100.00,10.00,100.00,90.00,100.00,90.00,100.00,10.00,14.29,0.00,0.00,0.00,0.00,90.00,14.81777778,100.00,,,,,
Nested Loop,Return100Nested,70.00,100.00,90.00,100.00,100.00,100.00,20.00,100.00,80.00,100.00,80.00,100.00,30.00,22.22,0.00,0.00,0.00,0.00,80.00,24.44,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,10.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,44.44333333,80.00,,,,,
Single-path Loop,ReverseArray,70.00,91.67,90.00,91.67,100.00,91.67,40.00,91.67,80.00,91.67,100.00,91.67,0.00,0.00,0.00,0.00,0.00,0.00,20.00,66.67,0.00,0.00,40.00,91.67,30.00,91.67,60.00,91.67,0.00,0.00,0.00,0.00,0.00,0.00,40.00,89.58,40.00,91.67,70.00,91.67,90.00,91.67,0.00,0.00,0.00,0.00,0.00,0.00,70.00,72.11142857,80.00,,,,,
Single-path Loop,ReverseString,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,66.67,30.00,29.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,11.11,40.00,,,,,
Single-path Loop,RotateArray,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,89.66,30.00,,,,,
Nested Loop,SelectionSort,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,76.98,0.00,,,,,
Nested Loop,SelectionSortDesc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,74.27,0.00,,,,,
Single-path Loop,SetZero,30.00,88.89,70.00,88.89,70.00,88.89,100.00,88.89,100.00,88.89,100.00,88.89,0.00,0.00,10.00,77.78,20.00,61.11,60.00,29.86,0.00,0.00,30.00,88.89,50.00,88.89,80.00,88.89,0.00,0.00,20.00,66.67,10.00,88.89,30.00,59.26,0.00,0.00,20.00,88.89,40.00,80.56,0.00,0.00,0.00,0.00,10.00,55.56,80.00,58.4425,100.00,,,,,
Multi-path Loop,Smallest,100.00,89.47,70.00,89.47,100.00,89.47,100.00,89.47,90.00,87.13,90.00,87.13,0.00,0.00,0.00,0.00,0.00,0.00,10.00,27.27,0.00,0.00,40.00,68.42,30.00,80.70,80.00,71.35,0.00,0.00,0.00,0.00,40.00,86.84,40.00,81.58,0.00,0.00,50.00,85.26,20.00,78.95,0.00,0.00,0.00,0.00,0.00,0.00,90.00,64.26777778,90.00,,,,,
Multi-path Loop,SmallestEvenMul,0.00,0.00,0.00,0.00,0.00,0.00,80.00,63.64,100.00,60.91,100.00,48.18,40.00,0.00,50.00,18.18,30.00,30.30,100.00,14.55,50.00,0.00,90.00,71.72,40.00,81.82,40.00,70.45,70.00,0.00,60.00,54.55,60.00,66.67,90.00,56.57,60.00,33.33,0.00,0.00,70.00,97.40,10.00,0.00,40.00,13.64,20.00,22.73,90.00,72.73,100.00,,,,,
Branched,SmallestEvenMulBranch,10.00,91.67,10.00,91.67,0.00,0.00,90.00,82.41,90.00,75.00,100.00,58.33,50.00,0.00,30.00,16.67,70.00,14.29,90.00,10.42,90.00,0.00,90.00,63.89,50.00,95.00,90.00,73.15,70.00,27.38,80.00,55.21,50.00,50.00,70.00,50.00,20.00,0.00,60.00,98.61,50.00,95.00,0.00,0.00,0.00,0.00,10.00,66.67,90.00,58.16555556,100.00,,,,,
Branched,SolveQuadraticEquation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,35.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,61.14,0.00,,,,,
Sequential,SortLibrary,30.00,100.00,20.00,100.00,20.00,100.00,40.00,100.00,70.00,100.00,70.00,100.00,30.00,0.00,20.00,0.00,0.00,0.00,100.00,0.00,60.00,0.00,80.00,100.00,50.00,100.00,100.00,100.00,30.00,33.33,80.00,100.00,30.00,66.67,80.00,87.50,0.00,0.00,50.00,100.00,40.00,100.00,0.00,0.00,10.00,100.00,40.00,25.00,80.00,100,100.00,,,,,
Single-path Loop,StrPalindrome,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,12.50,0.00,0.00,30.00,12.50,70.00,17.86,10.00,12.50,0.00,0.00,0.00,0.00,20.00,81.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,45.39375,0.00,,,,,
Single-path Loop,SubLoop,100.00,90.32,100.00,90.32,90.00,90.32,40.00,90.32,30.00,90.32,30.00,90.32,50.00,6.45,0.00,0.00,0.00,0.00,60.00,24.35,90.00,51.61,10.00,51.61,0.00,0.00,10.00,51.61,0.00,0.00,0.00,0.00,20.00,90.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,21.78111111,100.00,,,,,
Sequential,Swap,0.00,0.00,100.00,92.22,80.00,96.30,80.00,47.69,90.00,65.43,100.00,74.07,50.00,55.56,0.00,0.00,10.00,33.33,30.00,11.11,0.00,0.00,80.00,40.74,60.00,40.74,100.00,40.74,0.00,0.00,20.00,48.15,10.00,40.74,80.00,45.65,10.00,96.30,10.00,40.74,20.00,87.04,0.00,0.00,0.00,0.00,10.00,55.56,90.00,40.38,100.00,,,,,
Sequential,Temperatures,100.00,100.00,90.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,60.00,0.88,30.00,33.33,30.00,0.00,100.00,0.00,100.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,60.00,66.67,80.00,100.00,90.00,100.00,100.00,100.00,80.00,12.50,10.00,100.00,30.00,100.00,0.00,0.00,30.00,100.00,60.00,55.56,90.00,100,100.00,,,,,
Multi-path Loop,ThreeConsecutiveOdds,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,92.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,85.23,20.00,,,,,
Nested Loop,TransposeMatrix,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Nested Loop,TwoSum,60.00,88.89,90.00,88.89,90.00,88.89,50.00,88.89,0.00,0.00,10.00,77.78,0.00,0.00,0.00,0.00,0.00,0.00,10.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,55.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,67.84,75.00,,,,,
Nested Loop,UglyNum,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,34.76,40.00,,,,,
Single-path Loop,UglyNumLoop,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,63.87,20.00,100.00,40.00,9.68,0.00,0.00,0.00,0.00,20.00,5.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,9.68,10.00,9.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,23.21,100.00,,,,,
Nested Loop,UniqueCharNested,100.00,85.00,90.00,81.31,70.00,79.22,50.00,81.82,0.00,0.00,30.00,86.36,80.00,9.09,0.00,0.00,0.00,0.00,70.00,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,8.70,0.00,0.00,10.00,9.09,70.00,12.51571429,100.00,,,,,
Nested Loop,UniqueNumNested,30.00,87.30,60.00,88.10,70.00,84.35,30.00,/,40.00,91.67,30.00,93.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,19.05,10.00,36.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,65.18285714,20.00,,,,,
Branched,XOR,100.00,66.67,100.00,66.67,100.00,66.67,100.00,64.44,90.00,54.32,100.00,35.56,60.00,0.00,70.00,53.97,80.00,45.83,100.00,31.11,90.00,66.67,90.00,66.67,50.00,66.67,100.00,66.67,40.00,0.00,60.00,38.89,70.00,58.73,100.00,56.67,0.00,0.00,90.00,59.26,90.00,65.43,10.00,0.00,10.00,22.22,20.00,55.56,90.00,66.67,100.00,,,,,
